"short id","full name","party","state","state","distinct","canonical URL","url1","url2"
"capps","Capps, Lois","D"," California","CA",23,"http://house.gov/capps/","gov.house.www/capps",
"capuano","Capuano, Michael E.","D"," Massachusetts","MA",8,"http://house.gov/capuano/","gov.house.www/capuano",
"cardin","Cardin, Ben","D"," Maryland","MD",3,"http://house.gov/cardin/","gov.house.www/cardin",
"cardoza","Cardoza, Dennis A.","D"," California","CA",18,"http://www.house.gov/cardoza/","gov.house.www/cardoza",
"bradcarson","Carson, Brad","D"," Oklahoma","OK",2,"http://house.gov/bradcarson/","gov.house.www/bradcarson",
"juliacarson","Carson, Julia","D"," Indiana","IN",7,"http://www.juliacarson.house.gov/","gov.house.juliacarson.www/images","gov.house.juliacarson"
"carter","Carter, John R.","R"," Texas","TX",31,"http://www.house.gov/carter/","gov.house.www/carter",
"case","Case, Ed","D"," Hawaii","HI",2,"http://wwwc.house.gov/case/","gov.house.wwwc/case",
"castle","Castle, Michael N.","R"," Delaware","DE",,"http://house.gov/castle/","gov.house.www/castle",
"chabot","Chabot, Steve","R"," Ohio","OH",1,"http://house.gov/chabot/",,
"chocola","Chocola, Chris","R"," Indiana","IN",2,"http://www.house.gov/chocola/","gov.house.www/chocola",
"christian-christensen","Christian-Christensen, Donna",," U.S. Virgin Islands",,,"http://house.gov/christian-christensen/","gov.house.www/christian-christensen",
"clay","Clay, William Lacy, Jr.","D"," Missouri","MO",1,"http://house.gov/clay/","gov.house.www/clay",
"clyburn","Clyburn, James E.","D"," South Carolina","SC",6,"http://house.gov/clyburn/","gov.house.www/clyburn",
"coble","Coble, Howard","R"," North Carolina","NC",6,"http://house.gov/coble/","gov.house.www/coble",
"cole","Cole, Tom","R"," Oklahoma","OK",4,"http://www.house.gov/cole/","gov.house.www/cole",
"maccollins","Collins, Mac","R"," Georgia","GA",8,"http://www.house.gov/maccollins/",,
"conyers","Conyers, John","D"," Michigan","MI",14,"http://house.gov/conyers/","gov.house.www/conyers",
"costello","Costello, Jerry F.","D"," Illinois","IL",12,"http://house.gov/costello/","gov.house.www/costello",
"cox","Cox, Christopher","R"," California","CA",48,"http://cox.house.gov/","gov.house.cox",
"cramer","Cramer, Bud","D"," Alabama","AL",5,"http://house.gov/cramer/","gov.house.cramer",
"crane","Crane, Phil","R"," Illinois","IL",8,"http://house.gov/crane/","gov.house.www/crane",
"crenshaw","Crenshaw, Ander","R"," Florida","FL",4,"http://crenshaw.house.gov/",,
"crowley","Crowley, Joseph","D"," New York","NY",7,"http://crowley.house.gov/","gov.house.www/crowley",
"cubin","Cubin, Barbara","R"," Wyoming","WY",,"http://house.gov/cubin/","gov.house.www/cubin",
"culberson","Culberson, John","R"," Texas","TX",7,"http://www.culberson.house.gov/","gov.house.www/culberson","gov.house.culberson"
